Coin Name,Coin Price,Market Cap,Volume,Supply
Neutron,$0.4147,"$122,004,234","$10,206,687","294,174,898 NTRN"
Maple,$27.35,"$120,848,445","$5,350,199","4,417,986 MPL"
IOST,$0.005602,"$119,410,569","$34,064,144","21,315,000,000 IOST"
Tokenlon Network Token,$1.03,"$118,773,485","$599,141","115,259,601 LON"
World Mobile Token,$0.2411,"$118,558,462","$7,563,123","491,838,755 WMTX"
Smooth Love Potion,$0.002863,"$117,996,992","$26,567,993","41,207,846,512 SLP"
DigiByte,$0.006753,"$117,226,900","$5,153,497","17,360,085,680 DGB"
Nano,$0.8757,"$116,690,727","$3,314,585","133,248,297 XNO"
Numeraire,$15.76,"$115,809,363","$17,246,258","7,349,496 NMR"
Snek,$0.00158,"$115,710,624","$1,727,966","73,235,343,051 SNEK"
Cartesi,$0.1383,"$115,746,132","$24,803,828","837,191,964 CTSI"
Bone ShibaSwap,$0.5001,"$114,995,603","$11,624,519","229,923,351 BONE"
Coin98,$0.1327,"$114,298,643","$34,205,236","861,249,879 C98"
Humans.ai,$0.02045,"$114,343,023","$855,483","5,590,033,742 HEART"
Solana Name Service,$0.2211,"$113,922,323","$160,939,931","515,354,898 FIDA"
Sleepless AI,$0.4711,"$112,771,746","$114,981,971","239,375,000 AI"
Pundi X (New),$0.439,"$113,478,030","$24,625,680","258,491,637 PUNDIX"
Wilder World,$0.3262,"$113,280,949","$1,235,710","347,257,489 WILD"
Vulcan Forged (PYR),$2.89,"$113,007,977","$15,241,849","39,036,137 PYR"
BORA,$0.1021,"$112,254,264","$16,200,134","1,099,750,000 BORA"
Alephium,$1.25,"$112,328,319","$3,077,356","90,024,088 ALPH"
TrueFi,$0.08884,"$112,020,470","$29,395,284","1,260,860,899 TRU"
Moca Network,$0.08774,"$112,154,997","$32,632,919","1,278,317,017 MOCA"
Portal,$0.3201,"$111,520,346","$64,253,648","348,343,795 PORTAL"
Synapse,$0.567,"$111,722,729","$10,313,701","197,049,008 SYN"
Keep Network,$0.1168,"$111,151,913","$23,539","951,960,595 KEEP"
Pax Dollar,$1.00,"$110,121,568","$4,741,147","110,099,031 USDP"
ANyONe Protocol,$1.17,"$109,688,434","$2,313,141","93,751,812 ANYONE"
Catizen,$0.3883,"$108,637,770","$157,926,853","279,805,770 CATI"
Adventure Gold,$1.39,"$107,696,436","$36,822,134","77,310,001 AGLD"
Stratis [New],$0.05383,"$106,981,952","$83,222,739","1,987,326,513 STRAX"
Landwolf 0x67,$0.0001175,"$106,001,759","$6,315,151","902,159,505,150 WOLF"
Islamic Coin,$0.0765,"$106,329,138","$3,621,566","1,389,985,229 ISLM"
Satoshi Airline,$1.16,"$106,437,272","$487,878","91,886,197 JET"
Liquity,$1.13,"$106,074,125","$82,792,261","94,239,422 LQTY"
Treasure,$0.3847,"$105,099,300","$34,524,068","273,210,922 MAGIC"
Nakamoto Games,$1.13,"$105,380,700","$36,769,881","92,963,652 NAKA"
Ark,$0.569,"$105,094,802","$214,000,908","184,704,876 ARK"
Hive,$0.2106,"$105,455,275","$14,666,739","500,749,243 HIVE"
Celer Network,$0.01342,"$104,147,850","$10,957,829","7,763,424,107 CELR"
Velo,$0.01414,"$104,504,256","$32,618,985","7,390,475,595 VELO"
Moonriver,$11.21,"$103,545,919","$22,486,130","9,233,603 MOVR"
CoW Protocol,$0.3848,"$104,163,663","$71,325,009","270,720,524 COW"
Oasys,$0.03603,"$103,158,342","$2,576,832","2,863,313,321 OAS"
Rootstock Infrastructure Framework,$0.103,"$103,019,089","$8,907,942","1,000,000,000 RIF"
Casper,$0.008164,"$101,610,975","$18,313,818","12,445,779,926 CSPR"
Coq Inu,$0.051477,"$102,562,329","$8,642,856","69,420,000,000,000 COQ"
Crown by Third Time Games,$0.5374,"$102,438,690","$1,362,375","190,615,863 CROWN"
Spell Token,$0.0006735,"$101,765,612","$32,467,730","151,106,704,425 SPELL"
Telos,$0.2715,"$101,977,409","$18,524,209","375,573,675 TLOS"
Cyber,$3.64,"$101,520,788","$56,374,770","27,893,633 CYBER"
ChainGPT,$0.1359,"$101,136,811","$6,004,867","744,165,694 CGPT"
SmarDex,$0.01149,"$100,871,743","$1,268,763","8,778,896,324 SDEX"
BitMart Token,$0.3108,"$100,793,826","$629,091","324,281,616 BMX"
UXLINK,$0.5907,"$100,421,877","$292,762,315","170,000,000 UXLINK"
EURC,$1.06,"$100,389,590","$73,684,176","94,444,085 EURC"
Shentu,$0.7121,"$99,579,318","$10,971,396","139,848,139 CTK"
Dent,$0.0009939,"$99,388,372","$13,713,626","100,000,000,000 DENT"
CUDOS,$0.009959,"$98,633,360","$29,002","9,903,772,979 CUDOS"
Prom,$5.39,"$98,378,317","$16,653,653","18,250,000 PROM"
dKargo,$0.02266,"$98,406,201","$10,961,272","4,342,083,333 DKA"
Highstreet,$1.43,"$98,232,217","$43,530,729","68,910,908 HIGH"
Phoenix,$1.87,"$98,024,099","$63,299,760","52,552,499 PHB"
Seedify.fund,$1.56,"$97,641,337","$3,691,475","62,531,198 SFUND"
Myro,$0.1028,"$97,095,117","$85,232,080","944,203,815 MYRO"
Aragon,$2.24,"$96,800,545","$21,767","43,192,285 ANT"
Ardor,$0.09677,"$96,618,168","$55,804,979","998,466,231 ARDR"
Mines of Dalarnia,$0.1544,"$95,861,315","$19,224,221","620,923,298 DAR"
Zano,$7.14,"$95,847,573","$342,143","13,431,787 ZANO"
DIA,$0.7962,"$95,285,650","$24,951,000","119,676,104 DIA"
Tokamak Network,$2.16,"$94,745,871","$642,273,782","43,841,454 TON"
Solidus Ai Tech,$0.08683,"$93,884,433","$4,344,177","1,081,283,259 AITECH"
Oraichain,$6.72,"$92,845,096","$2,905,303","13,823,700 ORAI"
Kyber Network Crystal v2,$0.4954,"$92,274,258","$34,882,895","186,253,286 KNC"
Steem,$0.1943,"$92,498,083","$54,848,944","476,080,997 STEEM"
BUBCAT,$0.04134,"$92,450,433","$57,565","2,236,246,453 BUB"
Bounce Token,$13.94,"$91,834,828","$42,743,211","6,590,057 AUCTION"
Ergo,$1.17,"$91,526,501","$572,194","78,368,820 ERG"
Dusk,$0.195,"$91,084,410","$24,961,227","466,999,999 DUSK"
Fusionist,$2.23,"$90,895,641","$30,573,833","40,674,732 ACE"
AI Analysis Token,$0.6193,"$90,653,441","$508,264","146,389,462 AIAT"
Marlin,$0.01121,"$90,645,110","$8,720,841","8,087,375,977 POND"
SuperRare,$0.1248,"$89,647,838","$31,445,202","718,156,196 RARE"
MiL.k,$0.2217,"$89,147,486","$18,618,515","402,081,985 MLK"
STP,$0.04589,"$89,147,054","$19,998,768","1,942,420,283 STPT"
Metal DAO,$1.13,"$88,606,210","$56,540,880","78,588,897 MTL"
SLERF,$0.177,"$88,519,324","$48,823,839","499,997,750 SLERF"
BOBO,$0.051329,"$87,923,945","$3,102,331","66,134,444,313,649 BOBO"
Wen,$0.0001206,"$87,786,213","$49,441,851","727,716,951,329 WEN"
MediBloc,$0.009183,"$87,635,585","$17,518,190","9,543,626,701 MED"
Huobi Token,$0.5397,"$87,560,586","$7,720,770","162,233,844 HT"
LCX,$0.1132,"$87,345,758","$1,797,892","771,584,751 LCX"
DODO,$0.12,"$87,100,097","$20,464,791","725,703,404 DODO"
Constellation,$0.03036,"$87,238,520","$1,435,338","2,873,448,318 DAG"
Orbs,$0.02744,"$86,921,752","$23,040,902","3,167,720,359 ORBS"
Phala Network,$0.1128,"$86,110,653","$15,116,929","763,088,355 PHA"
Hoppy,$0.0002051,"$86,298,306","$20,696,447","420,690,000,000 HOPPY"
Syscoin,$0.1074,"$85,778,632","$6,038,640","798,888,913 SYS"
Neiro Ethereum,$0.08576,"$85,761,470","$57,848,709","1,000,000,000 NEIRO"
Clash of Lilliput,$1.04,"$85,220,914","$28,761","82,074,400 COL"
RACA,$0.0002083,"$84,855,644","$20,739,753","407,337,037,735 RACA"
Braintrust,$0.3623,"$84,800,277","$120,234","234,044,807 BTRST"
Aleph Zero,$0.3141,"$83,786,072","$1,683,739","266,778,951 AZERO"
Bellscoin,$1.55,"$84,242,509","$1,437,023","54,483,925 BELLS"
Wojak,$0.001204,"$83,535,739","$10,074,395","69,404,726,737 WOJAK"
Velodrome Finance,$0.096,"$83,311,450","$5,982,046","867,803,201 VELO"
Bazaars,$7.10,"$82,824,960","$135,718","11,672,346 BZR"
Toshi,$0.0002033,"$82,940,401","$2,925,222","408,069,300,000 TOSHI"
Polyhedra Network,$1.21,"$82,461,277","$16,869,619","68,384,184 ZKJ"
Paycoin,$0.08182,"$82,463,745","$1,102,216","1,007,831,650 PCI"
Omni Network,$8.65,"$82,104,223","$79,612,858","9,494,508 OMNI"
Luna by Virtuals,$0.08258,"$82,578,520","$4,655,464","1,000,000,000 LUNA"
NYM,$0.1015,"$81,527,186","$1,834,921","803,103,235 NYM"
Node AI,$0.85,"$80,759,252","$1,428,473","95,016,171 GPU"
inSure DeFi,$0.002994,"$80,203,313","$465,459","26,790,063,175 SURE"
ARPA,$0.05233,"$79,522,770","$51,160,004","1,519,586,598 ARPA"
Hooked Protocol,$0.3901,"$79,329,667","$23,196,610","203,332,251 HOOK"
TARS AI,$0.1462,"$79,424,106","$13,194,199","543,380,367 TAI"
RSS3,$0.1176,"$79,366,218","$7,628,315","674,916,665 RSS3"
Symbol,$0.01293,"$78,862,317","$701,870","6,101,227,273 XYM"
NetMind Token,$2.36,"$78,862,993","$4,339,441","33,450,208 NMT"
Hifi Finance,$0.5593,"$77,924,277","$95,763,087","139,328,791 HIFI"
NeuralAI,$7.90,"$78,995,966","$2,179,572","10,000,000 NEURAL"
ApeX Protocol,$1.61,"$78,024,166","$108,884,922","48,392,685 APEX"
Lumia,$1.04,"$78,343,164","$23,494,828","75,306,825 LUMIA"
WINkLink,$0.00007847,"$77,975,112","$50,845,076","993,701,859,243 WIN"
Uquid Coin,$7.78,"$77,752,817","$794,843","10,000,000 UQC"
Milady Meme Coin,$0.061056,"$77,536,093","$36,113,886","734,366,023,232,083 LADYS"
XYO,$0.005748,"$77,463,121","$1,650,953","13,476,747,692 XYO"
Staika,$1.72,"$77,344,711","$186,212","45,043,333 STIK"
Lista DAO,$0.4137,"$76,794,530","$38,957,732","185,624,908 LISTA"
Request,$0.1,"$76,896,066","$2,692,826","768,628,883 REQ"
Verum Coin,$821.60,"$76,741,413","$1,540,249","93,405 VERUM"
Agoras: Currency of Tau,$2.56,"$76,653,148","$713,685","29,892,947 AGRS"
MANEKI,$0.008616,"$76,328,884","$26,700,413","8,858,766,369 MANEKI"
Ozone Chain,$0.1252,"$75,607,606",$107,"603,883,301 OZO"
Venom,$0.07614,"$75,295,685","$1,720,715","988,919,270 VENOM"
Maverick Protocol,$0.1744,"$74,993,511","$13,091,232","430,057,744 MAV"
Loom Network,$0.06072,"$75,244,225","$98,035,697","1,239,270,898 LOOM"
Aurora,$0.1364,"$74,228,397","$1,397,778","544,171,499 AURORA"
MyNeighborAlice,$1.10,"$74,561,664","$35,832,766","67,913,333 ALICE"
Artificial Liquid Intelligence,$0.00912,"$74,689,972","$3,553,687","8,189,833,603 ALI"
BENQI,$0.01504,"$74,559,467","$9,005,770","4,956,199,203 QI"
StormX,,"$73,909,812","$51,015,997","12,269,603,666 STMX"
Helium Mobile,$0.0008227,"$73,452,967","$5,119,426","89,279,616,083 MOBILE"
Verge,$0.004431,"$73,208,866","$10,680,827","16,521,951,236 XVG"
BakeryToken,$0.2519,"$72,999,209","$38,924,752","289,770,512 BAKE"
Bancor,$0.5943,"$71,963,603","$14,089,837","121,095,543 BNT"
MAGA,$1.63,"$71,613,453","$7,715,054","43,997,357 TRUMP"
Pocket Network,$0.04339,"$71,125,356","$1,692,159","1,639,345,851 POKT"
IAGON,$0.188,"$70,678,994","$515,493","376,020,434 IAG"
Tectum,$9.03,"$70,402,308","$1,918,156","7,798,861 TET"
KARRAT,$0.4911,"$70,328,501","$3,866,798","143,215,108 KARRAT"
Radiant Capital,$0.06059,"$69,767,338","$42,573,676","1,151,514,024 RDNT"
NFPrompt,,"$69,478,066","$32,109,294","292,859,589 NFP"
Acala Token,$0.06119,"$69,685,712","$6,948,470","1,138,749,994 ACA"
Orchid,$0.07046,"$69,039,564","$8,179,248","979,779,108 OXT"
Dione Protocol,$0.006799,"$68,980,165","$671,670","10,145,441,353 DIONE"
BUSD,$1.00,"$68,354,950","$22,968,175","68,223,481 BUSD"
Liquity USD,$0.9996,"$68,233,717","$226,977","68,260,779 LUSD"
Save,$1.35,"$68,086,545","$94,553","50,592,667 SLND"
CoinEx Token,$0.09574,"$67,844,283","$922,918","708,633,582 CET"
Hashflow,$0.1438,"$67,315,039","$12,942,351","468,207,506 HFT"
Stella,$0.07481,"$67,033,914","$16,954,505","896,000,000 ALPHA"
Zebec Network,$0.001026,"$66,689,231","$11,039,051","65,014,393,000 ZBCN"
Origin Protocol,$0.09785,"$66,588,802","$17,125,203","680,520,187 OGN"
Renzo,$0.03958,"$66,432,548","$54,229,521","1,678,323,855 REZ"
Gemini Dollar,$0.9979,"$66,482,165","$5,318,931","66,622,031 GUSD"
LeverFi,$0.001959,"$66,409,437","$26,149,522","33,899,170,766 LEVER"
Stargate Finance,$0.3224,"$65,888,656","$80,863,418","204,338,417 STG"
QuarkChain,$0.009316,"$65,747,133","$13,982,667","7,057,300,166 QKC"
MOBOX,$0.166,"$65,632,851","$26,997,521","395,272,116 MBOX"
Daddy Tate,$0.1089,"$65,331,187","$7,352,233","599,688,329 DADDY"
Badger DAO,$3.21,"$65,211,268","$17,341,015","20,291,082 BADGER"
HashAI,$0.00077,"$65,112,486","$471,715","84,564,818,695 HASHAI"
ArbDoge AI,$0.093697,"$64,489,554","$23,378,722","174,455,896,934,211,008 AIDOGE"
USDX [Kava],$0.5739,"$64,032,611","$304,528","111,567,264 USDX"
MobileCoin,$0.3217,"$64,031,570","$136,918","199,037,308 MOB"
Gems,$0.1594,"$63,752,190","$8,048,729","399,931,237 GEMS"
XPLA,$0.08588,"$63,723,987","$2,307,558","742,026,942 XPLA"
Gains Network,$1.90,"$63,403,594","$3,444,699","33,293,807 GNS"
Mother Iggy,$0.0638,"$62,913,452","$15,114,086","986,143,154 MOTHER"
ArchLoot,$0.1186,"$62,490,458","$4,600,840","526,714,644 AL"
Secret,$0.2131,"$62,479,553","$3,518,997","293,201,493 SCRT"
MARBLEX,$0.3547,"$62,131,939","$2,566,097","175,182,140 MBX"
Covalent X Token,$0.06478,"$62,045,875","$6,410,877","957,731,000 CXT"
Metacraft,$1.16,"$61,349,797","$2,011","52,661,120 MCT"
Euler,$3.83,"$61,028,087","$1,725,812","15,938,967 EUL"
Orion,$1.05,"$60,964,143","$465,500","57,823,774 ORN"
GameBuild,$0.003822,"$60,915,641","$150,380,868","15,937,409,526 GAME"
Anchored Coins AEUR,$1.07,"$60,835,501","$2,910,577","57,009,605 AEUR"
Radworks,$1.17,"$60,553,904","$27,295,225","51,771,495 RAD"
Unizen,$0.08723,"$60,297,956","$2,250,990","691,265,502 ZCX"
Venus BUSD,$0.02235,"$60,222,113",,"2,694,770,470 vBUSD"
Cobak Token,$0.6793,"$60,205,458","$131,717,886","88,629,841 CBK"
A3S Protocol,$0.2487,"$59,592,791","$3,362,198","239,595,033 AA"
Stride,$0.6736,"$59,161,850","$385,981","87,825,728 STRD"
Gods Unchained,$0.179,"$59,098,302","$1,520,259","330,138,890 GODS"
NikolAI,$0.05908,"$59,075,930","$3,487,697","1,000,000,000 NIKO"
Hippocrat,$0.05688,"$58,855,046","$11,977,397","1,034,734,273 HPO"
DAO Maker,$0.3055,"$58,903,477","$3,061,560","192,831,021 DAO"
Access Protocol,$0.001646,"$58,635,296","$6,199,702","35,615,804,616 ACS"
NKN,$0.07463,"$58,265,790","$11,213,834","780,761,259 NKN"
Ethernity Chain,$2.48,"$58,225,801","$12,706,510","23,476,472 ERN"
Gitcoin,$0.6681,"$57,392,194","$11,853,054","85,904,586 GTC"
ALEX Lab,$0.09412,"$57,081,022","$5,043,001","606,489,877 ALEX"
Bifrost,$0.0411,"$56,992,882","$9,846,532","1,386,638,564 BFC"
NAVI Protocol,$0.1792,"$56,991,337","$12,149,429","318,050,337 NAVX"
PepeFork,$0.061354,"$56,968,267","$2,190,622","420,690,000,000,000 PORK"
Tron Bull,$0.05961,"$56,647,408","$7,956,360","950,275,472 BULL"
Tensor,$0.453,"$56,621,795","$71,734,176","125,000,000 TNSR"
Skibidi Toilet,$0.808,"$56,592,284","$5,986,900","70,038,672 SKBDI"
Matr1x Fire,$0.8438,"$56,308,408","$6,042,252","66,731,284 FIRE"
Parcl,$0.3869,"$56,065,130","$40,320,342","144,901,780 PRCL"
LUKSO,$1.84,"$56,062,994","$1,089,958","30,535,907 LYX"
Function X,$0.1362,"$55,655,489","$789,332","408,520,357 FX"
MovieBloc,$0.003074,"$55,489,341","$98,076,233","18,048,553,881 MBL"
DeFi Pulse Index,$99.08,"$55,381,853","$401,683","558,983 DPI"
Cortex,$0.244,"$54,945,667","$14,652,578","225,168,204 CTXC"
PeiPei (ETH),$0.061329,"$54,630,537","$5,621,580","411,156,335,213,487 PEIPEI"
Alien Worlds,$0.01111,"$54,431,950","$27,947,046","4,900,039,812 TLM"
REI Network,$0.05656,"$53,735,267","$16,911,713","950,000,000 REI"
TokenFi,$0.05361,"$53,613,937","$38,937,008","1,000,019,789 TOKEN"
Toko Token,$0.3148,"$53,163,025","$5,817,614","168,881,547 TKO"
Metadium,$0.03092,"$52,667,440","$24,862,788","1,703,608,720 META"
Memes AI,$0.05251,"$52,509,902","$21,487,735","999,971,049 MemesAI"
Zero1 Labs,$0.5748,"$52,434,600","$6,867,516","91,221,244 DEAI"
Across Protocol,$0.3783,"$52,235,023","$2,238,890","138,063,734 ACX"
LTO Network,$0.12,"$52,022,023","$3,327,199","433,506,028 LTO"
smARTOFGIVING,$0.7025,"$51,834,039",,"73,780,484 AOG"
Aavegotchi,$0.9733,"$51,337,070","$11,791,340","52,747,801 GHST"
Bluzelle,$0.1134,"$50,999,418","$9,886,965","449,800,761 BLZ"
Aergo,$0.1095,"$50,900,749","$96,396,921","464,999,998 AERGO"
ViciCoin,$22.26,"$50,732,183","$281,173","2,279,555 VCNT"
Sweat Economy,$0.007578,"$50,717,691","$14,177,849","6,692,780,974 SWEAT"
Bitcoin Palladium,$20.46,"$50,687,930",,"2,476,893 BTCP"
Pangolin,$0.2327,"$50,813,465","$4,036,885","218,373,971 PNG"
Star Atlas,$0.002905,"$50,344,565","$4,916,845","17,327,827,330 ATLAS"
Heroes of Mavia,$1.45,"$50,169,000","$18,022,332","34,594,764 MAVIA"
Dimitra,$0.1022,"$49,718,687","$1,323,902","486,503,182 DMTR"
Gearbox Protocol,$0.004945,"$49,446,003","$772,518","10,000,000,000 GEAR"
Goldfinch,$1.69,"$49,344,720","$4,604,128","29,135,286 GFI"
Grok,$0.007791,"$49,244,434","$11,970,542","6,320,722,799 GROK"
PlatON,$0.008114,"$48,909,579","$7,401,139","6,027,802,843 LAT"
Forta,$0.1014,"$48,767,618","$940,747","480,734,585 FORT"
Automata Network,$0.09065,"$48,760,382","$7,597,519","537,900,979 ATA"
GamerCoin,$0.07476,"$48,593,985","$3,825,575","649,965,123 GHX"
Lift Dollar,$0.9995,"$48,360,355",,"48,385,964 USDL"
WazirX,$0.126,"$48,124,067","$1,821,404","381,856,872 WRX"
GmeStop,$0.006949,"$47,847,360","$36,626,163","6,885,214,218 GME"
Green Satoshi Token (SOL),$0.02125,"$47,671,315","$24,994,614","2,243,528,455 GST"
SelfieDogCoin,$0.04813,"$47,349,934","$2,707,636","983,717,932 SELFIE"
Onyxcoin,$0.001533,"$47,214,289","$5,901,115","30,790,293,735 XCN"
DEXTools,$0.5987,"$46,534,395","$485,057","77,731,036 DEXT"
Shadow Token,$0.2876,"$46,450,616","$977,340","161,534,673 SHDW"
Kishu Inu,$0.094955,"$46,152,080","$10,976,516","93,136,097,121,133,936 KISHU"
Kujira,$0.3769,"$46,108,295","$703,212","122,349,807 KUJI"
Ice Open Network,$0.006967,"$46,089,407","$15,460,142","6,615,204,261 ICE"
Perpetual Protocol,$0.6962,"$45,951,302","$17,444,418","66,002,157 PERP"
RARI,$1.86,"$45,944,334","$1,592,834","24,712,053 RARI"
GEODNET,$0.2313,"$45,833,426","$543,389","198,173,857 GEOD"
Propbase,$0.1211,"$45,700,516","$2,069,106","377,251,554 PROPS"
Tokemak,$0.569,"$45,568,645","$251,088","80,083,577 TOKE"
Assemble AI,$0.03023,"$45,350,924","$5,120,613","1,500,000,000 ASM"
Myria,$0.001825,"$45,305,071","$2,502,620","24,822,980,811 MYRIA"
Luckycoin,$2.33,"$44,985,922","$255,008","19,326,319 LKY"
crow with knife,$0.075805,"$44,691,484","$3,465,892","769,861,397,731,578 CAW"
Bitget Wallet Token,$0.3074,"$43,934,289","$4,937,733","142,920,247 BWB"
Ampleforth Governance Token,$3.08,"$43,908,739","$2,636,663","14,263,553 FORTH"
Ribbon Finance,$0.3808,"$43,192,250","$622,340","113,416,878 RBN"
Alchemix,$18.47,"$43,431,958","$7,704,747","2,351,829 ALCX"
OctaSpace,$1.30,"$43,380,669","$740,649","33,282,320 OCTA"
Strike,$8.08,"$43,319,226","$34,412,345","5,363,375 STRK"
PaLM AI,$0.5565,"$43,017,528","$598,255","77,300,000 PALM"
Billy,$0.04589,"$42,957,130","$45,389,924","936,137,657 BILLY"
Enzyme,$16.04,"$42,782,970","$4,897,664","2,667,592 MLN"
LooksRare,$0.04269,"$42,688,202","$5,326,165","999,941,673 LOOKS"
Everscale,$0.02144,"$42,562,325","$129,162","1,985,523,482 EVER"
Aleph.im,$0.1714,"$42,363,629","$973,455","247,220,482 ALEPH"
Hunt Town,$0.3356,"$42,338,878","$19,661,322","126,167,678 HUNT"
Elastos,$1.89,"$42,175,134","$808,905","22,336,382 ELA"
Victoria VR,$0.007857,"$41,924,356","$1,947,901","5,336,247,368 VR"
MAP Protocol,$0.008133,"$41,869,740","$2,106,870","5,148,263,729 MAPO"
Hacken Token,$0.04947,"$41,797,971","$239,631","844,959,632 HAI"
Philtoken,$0.04167,"$41,674,368","$12,536,600","1,000,000,000 PHIL"
Alkimi,$0.1757,"$41,650,895","$173,713","236,991,084 ADS"
MCOIN,$0.2349,"$41,580,009","$3,115,270","177,000,000 MCOIN"
Gelato,$0.1914,"$41,472,905","$261,402","216,738,328 GEL"
Star Atlas DAO,$0.155,"$41,437,749","$775,036","267,322,968 POLIS"
Pixer Eternity,$0.01325,"$41,390,554","$964,605","3,123,613,471 PXT"
Kendu Inu,$0.0000436,"$41,353,929","$636,715","948,428,147,258 KENDU"
Propchain,$1.81,"$41,275,533","$2,419,469","22,838,817 PROPC"
SIDUS,$0.004393,"$41,103,117","$1,405,839","9,356,868,845 SIDUS"
TROY,$0.004751,"$40,975,202","$73,608,120","8,625,000,000 TROY"
DIMO,$0.1651,"$40,679,613","$649,145","246,335,834 DIMO"
MSTR2100,$1.97,"$40,672,376","$8,917,984","20,645,815 MSTR"
Steem Dollars,$2.95,"$40,608,859","$17,011,512","13,783,294 SBD"
ThunderCore,$0.003559,"$40,526,092","$42,306,797","11,385,740,378 TT"
Thala,$0.8223,"$40,306,379","$1,269,243","49,015,380 THL"
Connex,$34.79,"$40,284,830","$199,259","1,158,000 CONX"
Bella Protocol,$0.556,"$40,187,606","$11,252,007","72,274,376 BEL"
Whiteheart,"$4,516.83","$40,145,557",,"8,888 WHITE"
Wanchain,$0.2016,"$39,997,027","$2,224,643","198,354,701 WAN"
Dego Finance,$1.90,"$39,808,070","$3,490,251","20,997,213 DEGO"
Ultiverse,$0.01412,"$39,805,636","$7,330,810","2,820,000,000 ULTI"
OX Coin,$0.01001,"$39,782,914","$2,152,188","3,975,794,531 OX"
Streamr,$0.03678,"$39,661,737","$5,862,950","1,078,403,853 DATA"
Dolan Duck,$0.4036,"$39,646,415","$2,956,617","98,235,225 DOLAN"
Isiklar Coin,$0.3957,"$39,570,643","$4,254,667","100,000,000 ISIKC"
ORIGYN,$0.00501,"$39,224,589","$223,088","7,828,640,875 OGY"
district0x,$0.03908,"$39,079,562","$1,792,872","1,000,000,000 DNT"
Sologenic,$0.09752,"$39,003,860","$562,961","399,947,699 SOLO"
ZEON,$0.001276,"$38,953,245","$7,384","30,529,103,436 ZEON"
Flamingo,$0.06146,"$38,860,800","$7,778,128","632,340,742 FLM"
Tether EURt,$1.07,"$38,760,362","$2,518,135","36,387,340 EURt"
Pirate Chain,$0.1967,"$38,595,555","$82,596","196,213,798 ARRR"
Eurite,$1.07,"$38,477,851","$38,066,807","36,126,631 EURI"
Locus Chain,$0.01848,"$38,459,929","$442,416","2,081,062,787 LOCUS"
Ren,$0.03847,"$38,432,758","$15,510,945","999,127,500 REN"
Sentinel Protocol,$0.07679,"$38,383,888",$882,"499,844,212 UPP"
Decentralized Social,$4.32,"$38,341,788","$707,139","8,884,536 DESO"
Boson Protocol,$0.2804,"$38,166,133","$1,294,696","136,099,636 BOSON"
OMG Network,$0.272,"$38,148,931","$11,034,061","140,245,398 OMG"
WHY,$0.079075,"$38,115,100","$10,086,581","420,000,000,000,000 WHY"
Persistence One,$0.1782,"$38,030,408","$486,066","213,368,953 XPRT"
FirmaChain,$0.04132,"$38,027,412","$37,426,184","920,276,996 FCT"
Pirate Nation,$0.1597,"$37,974,391","$1,149,899","237,813,528 PIRATE"
Concordium,$0.003454,"$37,941,147","$226,706","10,986,078,109 CCD"
Beta Finance,$0.04382,"$37,643,983","$6,209,510","859,090,909 BETA"
Matr1x,$0.287,"$37,454,283","$34,412,460","130,520,000 MAX"
Electroneum,$0.002083,"$37,444,642","$1,163,797","17,979,817,605 ETN"
Doge Eat Doge,$0.061206,"$37,406,390","$2,392,031","310,000,000,000,000 OMNOM"
Polymath,$0.04035,"$37,324,551","$11,554","924,998,413 POLY"
Contentos,$0.007191,"$37,226,438","$20,906,219","5,176,458,774 COS"
RAMP,$0.07777,"$37,162,151","$4,396","477,838,740 RAMP"
Mr Miggles,$0.03878,"$37,130,013","$4,677,207","957,371,091 MIGGLES"
OmniFlix Network,$0.1467,"$36,798,499","$81,279","250,758,585 FLIX"
Litentry,$0.6598,"$36,771,030","$22,797,543","55,730,862 LIT"
LimeWire,$0.1212,"$36,473,720","$5,825,215","300,989,927 LMWR"
Tenset,$0.2578,"$36,040,535","$706,183","139,773,555 10SET"
League of Kingdoms Arena,$0.1977,"$35,929,793","$6,756,786","181,771,893 LOKA"
MESSIER,$0.00004049,"$35,831,310","$672,916","884,846,293,944 M87"
RichQUACK.com,$0.098126,"$35,822,932","$403,596","44,085,961,274,152,304 QUACK"
Ginnan The Cat,$0.055178,"$35,730,516","$15,400,909","6,899,998,362,189 GINNAN"
GameFi.org,$3.26,"$35,730,216","$573,603","10,945,063 GAFI"
Celo Dollar,$0.9999,"$35,553,598","$5,543,916","35,554,166 CUSD"
Ampleforth,$1.25,"$35,451,049","$1,789,736","28,274,494 AMPL"
The Root Network,$0.02447,"$35,408,830","$5,053,654","1,446,820,515 ROOT"
PolySwarm,$0.01875,"$35,344,376","$2,383,822","1,885,500,782 NCT"
Stader,$0.8654,"$35,275,985","$10,053,370","40,763,114 SD"
MOO DENG (moodeng.vip),$0.00008586,"$35,072,608","$5,105,775","408,508,097,037 MOODENG"
ResearchCoin,$0.3678,"$35,022,012","$35,169","95,213,466 RSC"
MetaMAFIA,$0.1291,"$34,951,674","$279,151","270,712,816 MAF"
NULS,$0.315,"$34,807,113","$7,185,569","110,510,480 NULS"
LinqAI,$0.1548,"$34,790,986","$793,113","224,753,843 LNQ"
Altura,$0.03492,"$34,574,636","$11,607,667","990,000,000 ALU"
Groestlcoin,$0.3998,"$34,501,381","$13,573,222","86,300,634 GRS"
